Bug,FileName,Priority,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgCyclomaticStrictModified,AvgEssential,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodDefault,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,CyclomaticStrictModified,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxCyclomaticStrictModified,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumCyclomaticStrictModified,SumEssential,CountInputMin,CountInputMean,CountInputMax,CountOutputMin,CountOutputMean,CountOutputMax,CountPathMin,CountPathMean,CountPathMax,MaxNestingMin,MaxNestingMean,MaxNestingMax,LinesAddedSince2.0.0,LinesRemovedSince2.0.0,LinesAddedSince2.0.1,LinesRemovedSince2.0.1,LinesAddedSince2.1.0,LinesRemovedSince2.1.0,LinesAddedSince2.1.1,LinesRemovedSince2.1.1,LinesAddedSince2.2.0,LinesRemovedSince2.2.0,LinesAddedSince2.3.0,LinesRemovedSince2.3.0,LinesAddedSince2.3.10,LinesRemovedSince2.3.10,LinesAddedSince2.3.1,LinesRemovedSince2.3.1,LinesAddedSince2.3.2,LinesRemovedSince2.3.2,LinesAddedSince2.3.3,LinesRemovedSince2.3.3,LinesAddedSince2.3.4,LinesRemovedSince2.3.4,LinesAddedSince2.3.5,LinesRemovedSince2.3.5,LinesAddedSince2.3.6,LinesRemovedSince2.3.6,LinesAddedSince2.3.7,LinesRemovedSince2.3.7,LinesAddedSince2.3.8,LinesRemovedSince2.3.8,LinesAddedSince2.3.9,LinesRemovedSince2.3.9,LinesAddedSince3.0.0,LinesRemovedSince3.0.0,LinesAddedSince3.1.0,LinesRemovedSince3.1.0,LinesAddedSince3.1.1,LinesRemovedSince3.1.1,LinesAddedSince3.1.2,LinesRemovedSince3.1.2,LinesAddedSince3.1.3,LinesRemovedSince3.1.3,LinesAddedSince4.0.0,LinesRemovedSince4.0.0,LinesAddedSince4.0.1,LinesRemovedSince4.0.1,CommitsAffectingFileInCurrentVersion,CommitsFixingBugInFileInCurrentVersion,CommitsAffectingFileInPreviousVersions,NumDevelopersInVersion,NumDevelopersInPreviousVersions,AvgExpertiseInVersion,AvgExpertiseInPreviousVersions,MinExpertiseInVersion,MinExpertiseInPreviousVersions,AvgTimeBetweenCommitsInVersion,AvgTimeBetweenCommitsInPreviousVersions,CommitsWithCommentChanges,CommitsWithoutCommentChanges
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloConnectionParameters.java,,8.0,1.0,6.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,16.0,,1.0,1.0,0.0,8.0,16.0,,,,16.0,16.0,2.0,,,,16.0,,,2.0,,0.0,0.0,14.0,,197.0,34.0,124.0,49.0,64.0,39.0,,,,,,66.0,93.0,49.0,,51.0,,,,,,,4.0,4.0,4.0,4.0,1.0,,1.0,2.0,,69.0,,0.31,26.0,26.0,26.0,26.0,16.0,0.0,7.6,21.0,1.0,3.4,9.0,1.0,2.0,6.0,0.0,0.4,2.0,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.0,93.0,0,93,,,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloDefaultIndexScanner.java,,10.0,1.0,7.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,22.0,,0.0,1.0,0.0,1.0,13.0,,,,13.0,13.0,8.0,,,,13.0,,,0.0,,0.0,2.0,11.0,,222.0,29.0,130.0,58.0,60.0,63.0,,,,,,77.0,101.0,57.0,,53.0,,,,,,,7.0,7.0,7.0,7.0,5.0,,1.0,4.0,,78.0,,0.48,22.0,22.0,27.0,27.0,17.0,1.0,3.615384615384616,12.0,1.0,4.0,15.0,1.0,1.7692307692307692,8.0,0.0,0.5384615384615384,4.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,725.0,0,443,,23682173.0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveConstants.java,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,1.0,0.0,11.0,0.0,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,42.0,7.0,14.0,13.0,10.0,21.0,,,,,,9.0,10.0,10.0,,5.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,,0.0,,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5.0,0.0,5,0,,,0,1
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloHiveRow.java,,8.0,0.0,8.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,3.0,17.0,,0.0,2.0,0.0,0.0,21.0,,,,21.0,21.0,5.0,,,,21.0,,,0.0,,0.0,0.0,21.0,,247.0,36.0,185.0,63.0,97.0,26.0,,,,,,93.0,143.0,62.0,,93.0,,,,,,,10.0,10.0,10.0,10.0,10.0,,1.0,3.0,,34.0,,0.14,44.0,44.0,46.0,46.0,38.0,1.0,4.777777777777778,10.0,1.0,2.9444444444444446,10.0,1.0,2.9444444444444446,19.0,0.0,0.7777777777777778,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,278.0,0.0,14,0,703331.5,,0,3
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexLexicoder.java,,12.0,0.0,12.0,0.0,5.0,2.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,,0.0,1.0,4.0,5.0,5.0,,,,5.0,1.0,0.0,,,,5.0,,,0.0,,1.0,0.0,4.0,,109.0,13.0,74.0,22.0,49.0,22.0,,,,,,35.0,45.0,22.0,,29.0,,,,,,,9.0,2.0,9.0,2.0,1.0,,1.0,1.0,,0.0,,0.3,23.0,9.0,23.0,9.0,5.0,5.0,14.0,18.0,3.0,6.0,11.0,2.0,4.75,9.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0.0,725.0,0,443,,11841086.5,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScanner.java,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,,,,3.0,3.0,0.0,,,,3.0,,,3.0,,0.0,0.0,0.0,,56.0,8.0,9.0,8.0,0.0,39.0,,,,,,7.0,8.0,8.0,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,4.33,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,725.0,0,443,,23682173.0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloIndexScannerException.java,,3.0,0.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,,0.0,1.0,0.0,1.0,3.0,,,,3.0,3.0,0.0,,,,3.0,,,0.0,,0.0,0.0,3.0,,39.0,6.0,13.0,6.0,4.0,20.0,,,,,,5.0,9.0,6.0,,3.0,,,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,0.0,,0.0,,1.54,3.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0.0,725.0,0,443,,23682173.0,0,0
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/AccumuloStorageHandler.java,,16.0,2.0,12.0,1.0,3.0,3.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,49.0,,0.0,1.0,0.0,2.0,25.0,,,,25.0,25.0,4.0,,,,25.0,,,0.0,,1.0,6.0,18.0,,496.0,78.0,361.0,140.0,201.0,57.0,,,,,,173.0,242.0,119.0,,165.0,,,,,,,11.0,11.0,12.0,12.0,4.0,,2.0,4.0,,90.0,,0.16,71.0,71.0,75.0,75.0,30.0,0.0,4.72,15.0,0.0,4.96,17.0,1.0,9.84,96.0,0.0,0.8,4.0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,2,4,278.0,416.0,14,93,42918489.0,9305816.0,0,2
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/HiveAccumuloHelper.java,,16.0,1.0,10.0,6.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,39.0,,0.0,1.0,0.0,2.0,18.0,,,,18.0,18.0,0.0,,,,18.0,,,1.0,,0.0,0.0,17.0,,364.0,34.0,209.0,78.0,106.0,121.0,,,,,,97.0,138.0,69.0,,83.0,,,,,,,6.0,6.0,6.0,6.0,3.0,,1.0,3.0,,0.0,,0.58,40.0,40.0,40.0,40.0,20.0,4.0,6.5,9.0,1.0,3.888888888888889,10.0,1.0,2.555555555555556,10.0,0.0,0.8888888888888888,3.0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,2,1,41.0,93.0,5,93,111544211.0,,1,1
0,/home/nicolas-richard/Desktop/.Apache_Hive/accumulo-handler/src/java/org/apache/hadoop/hive/accumulo/LazyAccumuloMap.java,,17.0,2.0,12.0,3.0,3.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,16.0,,0.0,1.0,0.0,0.0,6.0,,,,6.0,6.0,2.0,,,,6.0,,,0.0,,0.0,1.0,5.0,,155.0,25.0,95.0,42.0,49.0,35.0,,,,,,53.0,72.0,39.0,,44.0,,,,,,,6.0,6.0,7.0,7.0,4.0,,4.0,2.0,,67.0,,0.37,17.0,17.0,19.0,19.0,11.0,1.0,5.8,10.0,3.0,9.6,29.0,1.0,5.0,10.0,0.0,1.2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,,,0,0
